AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
0.5454545454545454,0.43448275862068975,0.7971359127635813,0.2132278389339513,0.2742636197758275,0.814185814185813,0.9792772302249166,0.3699043784599898,0.35257763038890566,0.047689068090396934,0.3953725865645445
0.7472414381902173,0.3852216748768473,0.8044537870327793,0.3907698435689456,0.3631505778086714,0.9110889110889103,0.9843315643164012,0.4245093105183693,0.4432092252034971,0.003279000536142615,0.3347268762299878
0.4700469336237649,0.39901477832512405,0.906063193851409,0.4259487253765934,0.07576679120688155,0.5364635364635362,0.9845842810209752,0.13449924509310515,0.09688724751281258,0.0743836318255259,0.5229402691346204
0.4097762230662378,0.6098522167487685,0.9792156605136961,0.8049319235225958,0.6625684247110956,0.9870129870129852,0.48445792266868887,0.7301207851031708,0.7735152246005427,0.006423258714304795,0.38775597042710497
0.5548228105718334,0.42266009852216707,0.9045129080995862,0.4236312282734647,0.038491615257624436,0.42657342657342645,0.8913318170331042,0.04693004529441374,0.017146517937895556,0.16021528184077877,0.5864688048508059
0.44685701627678376,0.739901477832513,0.6960388885239438,0.24266729432213213,0.26826831175601706,0.8461538461538455,0.9810462471569371,0.4198540513336687,0.3759421163702138,0.021953404465994707,0.47659167065581615
0.6755257534992547,0.3911330049261097,0.8094725087039346,0.3716867033603708,0.3343470327569727,0.8781218781218778,0.9934293656810718,0.4204831404126824,0.4298311727464573,0.03844698520715683,0.390787724057231
0.4815149823018242,0.4876847290640405,0.8665703212244629,0.265534472769409,0.28477713094100265,0.8531468531468529,0.985342431134697,0.42400603925515856,0.38046427494724144,0.029052983885943944,0.45050795170469654
0.7288279515803755,0.517241379310346,0.6613676673454639,0.3970162224797219,0.5548266573985576,0.99000999000999,0.8241091736163751,0.6102164066431808,0.6529243292131442,0.03614780168321045,0.24080634008829319
0.2604216180793672,0.8108374384236466,0.73491427445313,0.6199666859791425,0.70175514814493,0.9930069930069926,0.28809704321455737,0.8629843985908406,0.8745100994874886,0.04013849497921206,0.42591351523855114
0.32087923244834765,0.6315270935960596,0.775300532089601,0.33248841251448435,0.2526283777912938,0.8321678321678306,0.9861005812484188,0.4231253145445396,0.35295447693699106,0.023488687665268966,0.5678527737886283
0.3132023314519888,0.795073891625618,0.8745845102804963,0.35012311703360377,0.08180554348770523,0.48951048951048887,0.8486226939600705,0.13449924509310515,0.1343834790473317,0.145456518963691,0.9987234721557365
0.5114195921343493,0.657142857142859,0.4707087959009393,0.22546712050984938,0.4473455556520984,0.8211788211788205,0.9871114480667175,0.4406139909411172,0.4070319565872776,0.019178058673775405,0.35399180894633264
0.35586254955258456,0.5192118226601001,0.9426788412270906,0.2797834588644264,0.3252237379442176,0.8551448551448554,0.9780136467020469,0.4416205334675391,0.3823485076876695,0.025409208813969745,0.39431945109302696
0.8984950781996317,0.4798029556650262,0.14476778558759767,0.48980663383545775,0.38769658528108436,0.9470529470529453,0.9757391963608786,0.4178409662808253,0.4605441664154354,0.023146304319987012,0.4998776660815914
0.5747130680376022,0.3477832512315274,0.7633318005649347,0.3789107763615296,0.5384481709966112,0.99000999000999,0.8438210765731599,0.6410417715148465,0.6395462767561049,0.03824291566361129,0.2994840699962768
0.5927804364780861,0.4325123152709356,0.9973198449714247,0.5112977983777521,0.575593014162829,0.9920079920079902,0.8016173869092741,0.6455712128837445,0.6651718420259268,0.031728562345763205,0.33076963991277064
0.6416984710806732,0.4443349753694582,0.931839978979176,0.4071914831981461,0.32431140846294204,0.8891108891108879,0.9838261309072533,0.4300452944136889,0.42267108833283085,0.02924571623262584,0.33877985213552475
0.6221543317842623,0.4857142857142864,0.8188661893187937,0.31807647740440326,0.3097575810235467,0.7632367632367631,0.981298963861511,0.36701056869652743,0.3512586674706057,0.04098878474398513,0.2948672942928568
